"Genotype","Average.halting.duration","Estimated.distance.moved","Estimated.duration.halting","Estimated.duration.halting..duration...180.","Estimated.duration.halting..180....duration...1500.","Estimated.duration.halting..duration....1500.","Estimated.duration.moving","Estimated.duration.moving..duration...10.","Estimated.duration.moving..10....duration...50.","Estimated.duration.moving..duration....50.","Estimated.duration.moving..velocity...0.2.","Estimated.duration.moving..0.2....velocity...0.4.","Estimated.duration.moving..velocity....0.4.","Halt.frequency","Halt.frequency..duration...180.","Halt.frequency..180....duration...1500.","Halt.frequency..duration....1500.","Movement.frequency","Movement.frequency..duration...10.","Movement.frequency..10....duration...50.","Movement.frequency..duration....50.","Movement.frequency..velocity...0.2.","Movement.frequency..0.2....velocity...0.4.","Movement.frequency..velocity....0.4.","Ratio.halting.to.detection.duration","Ratio.movement.to.detection.duration","Ratio.movement.to.halting.duration"
"210",1671.4,9.19,5014.59,164.61,0,4849.98,85.61,0,28.6,57,85.61,0,0,3,1,0,2,2,0,1,1,2,0,0,0.98,0.02,0.02
"210",30.14,493.76,2019.76,1759.34,260.42,0,3080.44,44.2,941.27,2094.96,2333.58,746.86,0,67.01,66.01,1,0,67.01,9,35,23,49,18,0,0.4,0.6,1.53
"210",382.52,9.44,4973.19,534.44,2177.17,2261.58,127.01,40.6,86.41,0,127.01,0,0,13,6,6,1,12,9,3,0,12,0,0,0.98,0.02,0.03
"31",71.74,128.92,3874.1,1392.31,2481.79,0,1225.7,97.81,888.67,239.22,1213.9,11.8,0,54,50,4,0,54,18,33,3,53,1,0,0.76,0.24,0.32
"31",1270.5,1.2,5082.4,10,515.84,4556.56,17.8,17.8,0,0,17.8,0,0,4,2,1,1,3,3,0,0,3,0,0,1,0,0
"31",57.92,138.46,3823.1,1348.91,2474.19,0,1277.1,160.81,746.46,369.83,1277.1,0,0,66.01,61,5,0,65.01,31,28,6,65.01,0,0,0.75,0.25,0.33
"31",251.59,58.62,4528.96,554.04,2245.38,1729.54,571.24,32,276.62,262.62,571.24,0,0,18,14,3,1,18,6,9,3,18,0,0,0.89,0.11,0.13
"31",53.85,333.48,2854.02,1120.29,1733.74,0,2246.18,48.2,758.06,1439.91,1997.16,249.02,0,53,49,4,0,53,10,28,15,50,3,0,0.56,0.44,0.79
"31",206.73,89.2,4548.36,868.47,1698.33,1981.56,551.84,26,346.03,179.81,372.03,179.81,0,22,18,3,1,22,5,14,3,19,3,0,0.89,0.11,0.12
"318",231.89,46.82,4638.16,522.44,2457.79,1657.93,461.64,29,324.03,108.61,461.64,0,0,20,15,4,1,20,7,12,1,20,0,0,0.91,0.09,0.1
